Uniprot	Genename
A0A060WHL4	GSONMT00075506001
A0A060Y1T6	GSONMT00063244001
A0A1S3NGY9	irf-3
A0A060WRB8	GSONMT00024059001
A0A060YYH3	GSONMT00045704001
A0A1S3NMD0	LOC106580263
A0A060W2U1	GSONMT00080145001
A0A060YY05	GSONMT00038004001
A0A060WDG9	GSONMT00072518001
A0A060WXJ2	GSONMT00000269001
A0A1S3SU59	LOC106611807
A0A060Y601	GSONMT00002392001
A0A060W0G4	LOC110488606
B5XA48	RL39
A0A1S3KJ23	LOC106560384
A0A1S3RE36	LOC106602091
A0A060YFQ9	GSONMT00004899001
A0A060WTZ6	GSONMT00063500001
B5XEI6	ANXA4
C0HA50	IF2G
A0A060XQL0	LOC110536328
B5X232	PTBP2
C0HAI2	LDHB
A0A060WTI4	LOC110496343
B9EMK6	CH055
A0A060WB57	GSONMT00065869001
A0A1S3M315	LOC106569987
A0A060XQE3	LOC100136198
A0A1S3QJW5	LOC106593517
A0A060WG91	GSONMT00075025001
A0A060WA51	GSONMT00065232001
A0A060XL87	LOC110509760
B9EQH8	OTUB1
A0A060WUC4	GSONMT00010693001
A0A060XGE1	GSONMT00022186001
A0A060XKT3	GSONMT00033875001
B9ELB3	ZC3HF
A0A060XWV8	GSONMT00028089001
A0A060X635	LOC110490280
A0A1S3QHC7	gckr
A0A060YXS6	LOC110505888
A0A060WTL6	GSONMT00035353001
A0A060WGU2	PLBD2
A0A060WYF5	GSONMT00001306001
B5X9I6	SKP1
A0A060YPN4	GSONMT00019645001
A0A060Z101	GSONMT00051093001
A0A060XY14	GSONMT00010568001
B5XGQ3	WDR61
A0A1S3RKS1	acat1
A0A1S3LMM0	zzef1
A0A1S3QHC0	hacl1
C0HAF1	RCC1
C1BEZ5	CF115
A0A060Z1F6	GSONMT00023692001
B5XDV1	S10AG
A0A060X8I5	GSONMT00022183001
A0A1S3RH07	dpagt1
A0A1S3Q6T9	LOC106589831
A0A1S3NJE9	sf3a1
B5X1V0	STOM
A0A060XTV7	GSONMT00013833001
B5XB34	ACPM
B9EQ61	SAP18
A0A060X4M0	GSONMT00039888001
A0A1S3NKD7	atp2a2
A0A1S3MAL5	LOC106571460
A0A1S3KXI5	hexb
A0A060XA36	LOC110499420
A0A060XVX0	GSONMT00050908001
A0A060WP40	acad8
A0A060W5M8	NCBP1
A0A060XS44	GSONMT00039939001
N0GT48	impa1.3
B5X1W9	PHT4
A0A061A7B4	GSONMT00021275001
A0A060VSQ2	LOC110490007
A0A060VU13	GSONMT00079830001
A0A060YK70	GSONMT00008808001
A0A060YKZ0	GSONMT00038013001
A0A060VXT3	GSONMT00074575001
A0A060XJC2	GSONMT00006729001
A0A060YB72	GSONMT00060797001
A0A1S3QMQ8	LOC106594497
A0A1S3Q569	LOC106589546
A0A060X7N9	GSONMT00062102001
A0A060XJ09	rl11
A0A1S3M7C9	naaladl1
A0A1S3QTU1	LOC106596760
B5XES2	CALB2
B5X320	K2C8
A0A060WY72	GSONMT00019045001
A0A060W7W3	GSONMT00069098001
A0A1S3NV97	prcp
B5DG56	capza2
A0A1S3RNU0	cdhr2
C1BGQ9	RS7
A0A060WAZ9	GSONMT00071040001
A0A1S3NGI8	LOC106579298
A0A060XFU7	GSONMT00050499001
A0A060Y9F1	GSONMT00057790001
A0A1S3MWH3	LOC106575514
A0A1S3RBL7	LOC106601709
B5XFL9	ELOB
A0A1S3RV43	rbm8a
A0A1S3LFF3	LOC106566012
A0A060Z503	GSONMT00010541001
A0A1S3T297	LOC106613210
B5DH21	LOC106588994
A0A060XNK2	GSONMT00015812001
A0A060VRC3	LOC110488326
C1BI39	EIF1B
A0A060WSS3	GSONMT00006072001
A0A1S3MNM7	cotl1
C1BI02	ASC
A0A060WGF8	dao
A0A060YU03	GSONMT00024902001
B5X1L5	SRP54
C1BFD8	HBB1
B9EQ16	DJC17
A0A1S3SUZ8	trappc11
A0A060XBC4	GSONMT00044257001
A0A060WRC9	GSONMT00024074001
A0A060W596	GSONMT00067274001
A0A1S3QZN3	LOC106599033
A0A060VZ48	amacr
B5XAE0	ANXA5
A0A1S3QD83	LOC106590745
B5X9H0	RL35
A0A060VWC6	GSONMT00064251001
A0A060W2S2	GSONMT00078608001
A0A1S3R817	syf1
A0A1S3T369	aplp2
A0A060XM21	GSONMT00001467001
A0A060XEG9	GSONMT00040972001
A0A060WTD5	GSONMT00010260001
A0A060WM84	GSONMT00045857001
A0A1S3Q6W9	LOC106589848
A0A060WQQ4	GSONMT00023573001
A0A060XJK1	uap1l1
A0A1S3QA44	LOC106590401
A0A1S3SQ25	LOC106611092
A0A060XPS3	GSONMT00032023001
A0A060YT46	GSONMT00032136001
A0A060VUA9	LOC110489325
A0A060YLC7	fuom
A0A1S3QRR0	LOC106595222
A0A060WZ41	GSONMT00002621001
A0A060YQH4	GSONMT00015259001
A0A1S3N3V2	LOC106576801
A0A1S3L0R4	zfpl1
A0A1S3PIP9	LOC106585643
A0A060YUM1	GSONMT00062002001
A0A060Y445	GSONMT00052673001
A0A060W163	LOC110516750
A0A060VYR4	GSONMT00080944001
A0A060WYI0	GSONMT00053466001
A0A1S3RP84	LOC106604180
A0A1S3MHL8	LOC106572705
A0A060WQG5	GSONMT00049791001
A0A1S3STD7	stx3
A0A060XX79	GSONMT00036041001
A0A060YNP2	GSONMT00048953001
A0A060ZIZ8	GSONMT00060807001
A0A1S3MQF1	cyfip1
A0A1S3PZH2	LOC106588296
A0A060YMX5	GSONMT00023741001
A0A060Z9N4	GSONMT00053587001
A0A060XXK7	GSONMT00041656001
A0A060X621	LOC110522464
C0HAR9	SCPDH
A0A1S3LSP9	LOC106568293
A0A060XAE4	GSONMT00010164001
A0A1S3P8Z7	LOC106583923
A0A1S3NRT6	LOC106580921
A0A060WWR8	GSONMT00056290001
A0A060WEJ3	GSONMT00073542001
B5X3S1	API5
A0A060VWP4	GSONMT00079928001
A0A060XQ20	GSONMT00052544001
A0A060YLQ3	czib
B5XCY4	143B1
B5X1Z3	GALK2
A0A060X976	LOC110533869
A0A060X4F6	GSONMT00038474001
B9EPN7	IF2B
A0A060YCQ8	GSONMT00004686001
A0A060WKC6	GSONMT00042651001
A0A060YRH0	GSONMT00043749001
A0A1S3RWA2	tmem106b
A0A1S3PHG2	tor2a
A0A1S3N9Y0	LOC106578169
A0A1S3S073	LOC106606227
A0A060YEJ2	GSONMT00015695001
A0A1S3QA05	LOC106590138
C1BHA2	TR112
A0A1S3S2U2	LOC106606839
A0A1S3KPF0	LOC106561308
Q9YGQ0	rig
A0A1S3QJ36	LOC106592547
